"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.896939064E2,1.382375336E0,-1.191806625E1,3.348386993E0
1.897140074E2,-2.974314880E-1,-8.624016266E0,2.909649353E0
1.897341094E2,-1.752854919E0,-5.634283447E0,3.708987122E0
1.897542114E2,-2.928210754E0,-3.265609131E0,4.337679749E0
1.897743134E2,-3.437601471E0,-1.230890350E0,4.322561188E0
1.897944154E2,-4.096231842E0,5.056484985E-1,4.510420532E0
1.898145174E2,-4.675676880E0,1.639690247E0,3.536695404E0
1.898346194E2,-3.415148163E0,2.289339294E0,5.533992004E-1
1.898547214E2,-1.006357269E0,2.126028900E0,-1.905537415E0
1.898748234E2,4.115092621E0,2.132465515E0,-1.643297745E1
1.898949254E2,8.349038086E0,-2.937940521E0,-1.422701477E1
1.899150264E2,5.306465149E0,-2.851270752E0,2.493365021E0
1.899351284E2,3.296894073E0,-2.812651062E0,8.571325836E0
1.899552304E2,1.181942139E0,-6.630761261E0,1.151705017E1
1.900255874E2,4.882097626E0,-2.890698761E1,1.433269501E0
1.900456890E2,1.218615875E0,-1.308893143E1,-2.768492889E0
1.900657910E2,-1.295106812E0,-5.918542328E0,-2.973865814E0
1.900858920E2,-2.694696350E0,-2.820285187E0,-1.420995026E0
1.901059940E2,-3.547023926E0,-3.796405334E0,1.344354401E0
1.901260960E2,-3.273991699E0,-7.819589081E0,2.689906311E0
1.901461980E2,-2.513722687E0,-7.407046967E0,-3.998185730E-1
1.901663000E2,-2.895129547E0,-4.447102203E0,-2.254910889E0
1.901864020E2,-2.600093079E0,-3.038531342E0,-1.670376434E0
1.902065040E2,-1.793420563E0,-4.044738922E0,-5.950126648E-1
1.902266060E2,-2.345472565E0,-7.393275604E0,-1.058299255E-1
1.902467080E2,-3.269800415E0,-1.041324554E1,-1.371148682E-1
1.902668100E2,-2.406246185E0,-1.177676010E1,-6.509962463E-1
1.902869110E2,-3.574566650E-1,-1.418016220E1,-3.901037750E0
1.903070130E2,2.922971649E0,-2.019615189E1,-1.768557266E1
1.903271150E2,5.525908813E0,-2.016875885E1,-1.107651627E1
1.903472170E2,4.757556610E0,-1.276141251E1,1.205907303E1
