"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.932200375E0,1.733545074E0,6.023474121E0,-1.756896515E0
4.952301375E0,3.172053680E0,-4.900808716E-1,4.638254700E0
4.992503375E0,7.841892700E0,-5.692063293E0,3.892041458E1
5.012604375E0,2.485880585E0,-1.913021851E-1,3.006797333E0
5.032706375E0,1.591490479E0,1.104253693E0,4.391867065E-1
5.052807375E0,1.369951172E0,9.078620911E-1,2.682421875E-1
5.072908375E0,1.397643585E0,1.775158539E0,1.841171265E-2
5.093009375E0,-3.301983490E0,6.108946381E0,1.551373901E0
5.113110375E0,-1.036399796E1,1.213825836E0,2.108245880E1
5.133212375E0,3.727997589E0,-5.084925842E-1,2.231948639E1
5.153313375E0,5.863606567E0,-2.480342102E-1,1.292292664E1
5.173414375E0,1.605411530E0,-1.422342224E0,6.536457367E0
5.193515375E0,1.294508057E0,-1.209634552E0,5.268444214E0
5.213616375E0,2.133812714E0,-8.714877319E-1,8.012388153E0
5.233718375E0,2.870430908E0,6.301895142E-2,1.062400726E1
5.253819375E0,2.137854309E0,7.197033691E-1,1.010144394E1
5.273920375E0,4.430786133E-2,2.161505127E-1,8.922196198E0
5.294021375E0,3.896397400E-1,5.942642212E-2,7.314539337E0
5.314122375E0,1.266366577E0,6.586303711E-3,7.057972870E0
5.334223375E0,1.603615265E0,-9.160949707E-2,8.936266937E0
5.354325375E0,1.324445801E0,-3.803590393E-1,1.055964111E1
5.374426375E0,1.241667938E0,-2.998265076E-1,1.037058426E1
5.394527375E0,6.659651184E-1,1.510359192E-1,9.878407745E0
5.414628375E0,-2.885998535E-1,3.779640198E-1,9.967322845E0
5.434729375E0,-9.554631042E-1,6.228547668E-1,1.075498489E1
5.454831375E0,-8.695417786E-1,8.354127502E-1,1.124102417E1
5.474932375E0,-6.053411865E-1,9.258247375E-1,1.112082413E1
5.495033375E0,-4.869374084E-1,9.297166443E-1,1.030591873E1
5.515134375E0,-7.918533325E-2,9.645941162E-1,9.343420258E0
5.535235375E0,4.079017639E-1,7.788304138E-1,9.141939240E0
5.555336375E0,1.085392914E0,5.698649597E-1,9.504185944E0
5.575438375E0,1.563798065E0,3.505709839E-1,9.881102142E0
5.595539375E0,1.856140137E0,2.088157654E-1,9.802066498E0
5.615640375E0,1.786834259E0,1.941462708E-1,9.337432709E0
5.635742125E0,1.561552734E0,3.125500488E-1,9.052126007E0
5.655843125E0,1.441801758E0,4.019142151E-1,9.095835114E0
5.675945125E0,1.517693939E0,4.287084961E-1,9.146429901E0
5.696046125E0,1.481768646E0,3.588038635E-1,9.112899628E0
5.716147125E0,1.238823853E0,2.664459229E-1,9.299262085E0
5.736248125E0,1.051712952E0,2.909948730E-1,9.553732910E0
5.756349125E0,7.991880798E-1,3.417393494E-1,9.811796265E0
5.776450125E0,4.481680298E-1,3.876937866E-1,1.002136047E1
5.796552125E0,1.624122620E-1,4.595443726E-1,1.018377274E1
5.816653125E0,-4.161346436E-2,5.081932068E-1,1.039528290E1
5.836754125E0,-1.336720276E-1,5.254074097E-1,1.054167847E1
5.856855125E0,-6.256988525E-2,4.522096252E-1,1.050081345E1
5.876956125E0,1.483415222E-1,3.571572876E-1,1.035187317E1
5.897058125E0,4.023632813E-1,3.052153015E-1,9.980645142E0
5.917159125E0,6.764433289E-1,2.345622253E-1,9.516310730E0
5.937260125E0,9.192384338E-1,2.565664673E-1,9.323661346E0
5.957361125E0,1.151854706E0,2.903961182E-1,9.370813293E0
5.977462125E0,1.247655487E0,3.435356140E-1,9.413773956E0
5.997563125E0,1.222058716E0,3.737727356E-1,9.309889984E0
6.017665125E0,1.197659454E0,3.742218018E-1,9.193132782E0
6.037766125E0,1.233435059E0,3.514691162E-1,9.322763214E0
6.057867125E0,1.200503540E0,3.209326172E-1,9.521400146E0
6.077968125E0,1.079105988E0,3.348536682E-1,9.608069916E0
6.098069125E0,9.048683167E-1,4.156855774E-1,9.687704315E0
6.118171125E0,7.325765991E-1,4.399351501E-1,9.832303619E0
6.138272125E0,5.679190063E-1,4.399351501E-1,9.976603546E0
6.158373125E0,4.402345276E-1,4.677772522E-1,1.011057495E1
6.178474125E0,3.370989990E-1,4.701722717E-1,1.017269577E1
6.198575125E0,3.278182983E-1,4.879852295E-1,1.016685791E1
6.218676125E0,4.092489624E-1,4.902305603E-1,1.017553986E1
6.238778125E0,5.104385376E-1,4.442761230E-1,1.012868729E1
6.258879125E0,6.571334839E-1,3.903881836E-1,9.918973389E0
6.278980125E0,8.475375366E-1,3.698808289E-1,9.693392487E0
6.299081125E0,1.026415558E0,4.953199768E-1,9.629774780E0
6.319182125E0,1.212927704E0,5.833369446E-1,9.438173218E0
6.339283125E0,1.106049957E0,4.275109863E-1,9.513766022E0
6.359385125E0,1.246457977E0,4.589456177E-1,9.402696991E0
6.379486125E0,8.414002991E-1,3.607498169E-1,9.132658539E0
6.399587125E0,7.631130981E-1,4.135899353E-1,9.192534027E0
6.419688125E0,7.065307617E-1,1.860630798E-1,9.661957855E0
6.439789125E0,6.491999817E-1,8.547225952E-2,1.003109024E1
6.459891125E0,4.405339050E-1,8.232879639E-2,1.005114853E1
6.479992125E0,2.336640930E-1,1.672023010E-1,9.714049530E0
6.500093125E0,8.816665649E-2,2.897973633E-1,9.635612640E0
6.520194125E0,1.239422607E-1,3.475772095E-1,9.942324829E0
6.540295125E0,2.448907471E-1,3.745211792E-1,1.013886612E1
6.560396125E0,2.487826538E-1,4.342469788E-1,1.004381378E1
6.580498125E0,3.324586487E-1,6.126759338E-1,9.888137512E0
6.600599125E0,4.552033997E-1,6.174659729E-1,9.621990967E0
6.620700125E0,4.740641785E-1,4.492158508E-1,9.655221863E0
6.640800875E0,5.986051941E-1,3.550616455E-1,9.761051788E0
6.660901875E0,7.420069885E-1,4.628375244E-1,9.784552917E0
6.681002875E0,8.253836060E-1,5.451663208E-1,9.739795990E0
6.701104875E0,8.524772644E-1,5.071453857E-1,9.581275635E0
6.721205875E0,8.397537231E-1,4.420307922E-1,9.496102753E0
6.741306875E0,7.821235657E-1,4.299060059E-1,9.491612091E0
6.761407875E0,6.544390869E-1,4.179309082E-1,9.628577271E0
6.781508875E0,6.786886597E-1,4.571493530E-1,9.676477661E0
6.801610875E0,6.825805664E-1,5.028044128E-1,9.795330505E0
6.821711875E0,6.210585022E-1,4.927752686E-1,9.880204010E0
6.841812875E0,3.631448364E-1,4.034111023E-1,9.879455566E0
6.861913875E0,4.116439819E-2,4.234693909E-1,9.851463776E0
6.882014875E0,-1.486408997E-1,4.589456177E-1,9.880204010E0
6.902115875E0,-1.577719116E-1,3.782633972E-1,9.777367859E0
6.922217875E0,-9.654922485E-2,4.556524658E-1,9.920170898E0
6.942318875E0,1.112187195E-1,4.748126221E-1,9.993967438E0
6.962419875E0,1.398092651E-1,4.391867065E-1,9.912686462E0
6.982520875E0,2.862048340E-1,3.761677551E-1,9.779014435E0
7.002621875E0,4.508624268E-1,3.385958862E-1,9.672735443E0
7.022723875E0,5.430706787E-1,3.603007507E-1,9.744286652E0
7.042824875E0,5.927673340E-1,4.346960449E-1,9.735604706E0
7.062925875E0,5.272036743E-1,4.087998962E-1,9.654922485E0
7.083026875E0,4.917274475E-1,4.206253052E-1,9.438472595E0
7.103127875E0,5.034031677E-1,4.589456177E-1,9.480086060E0
7.123228875E0,5.438191223E-1,4.816983032E-1,9.685009918E0
7.143330875E0,5.047503662E-1,4.547543335E-1,9.744586029E0
7.163431875E0,4.248165894E-1,4.261637878E-1,9.713151398E0
7.183532875E0,2.932402039E-1,4.311035156E-1,9.736203461E0
7.203633875E0,2.019300842E-1,4.255650330E-1,9.887239380E0
7.223734875E0,1.865121460E-1,4.180805969E-1,1.002061203E1
7.243835875E0,1.911524963E-1,4.800517273E-1,9.977950745E0
7.263937875E0,1.817221069E-1,5.276527405E-1,9.806706848E0
7.284038875E0,2.038760376E-1,5.084925842E-1,9.770182800E0
7.304139875E0,2.788700867E-1,4.685256958E-1,9.894723816E0
7.324240875E0,3.008743286E-1,4.022135925E-1,9.839638367E0
7.344341875E0,3.592529297E-1,3.781137085E-1,9.614356842E0
7.364443875E0,4.327500916E-1,3.814068604E-1,9.642348633E0
7.384544875E0,5.179229736E-1,3.848497009E-1,9.741143188E0
7.404645875E0,5.670208740E-1,4.011657715E-1,9.727371826E0
7.424746875E0,5.397775269E-1,4.179309082E-1,9.626032562E0
7.444847875E0,5.282514954E-1,4.231700134E-1,9.588760071E0
7.464948875E0,4.778063965E-1,4.397854614E-1,9.665101318E0
7.485050875E0,4.514611816E-1,4.343966675E-1,9.708061981E0
7.505151875E0,4.302053833E-1,4.610412598E-1,9.781110077E0
7.525252875E0,3.592529297E-1,4.688250732E-1,9.763746185E0
7.545353875E0,3.302133179E-1,4.513114929E-1,9.760153656E0
7.565454875E0,2.993774414E-1,4.228706360E-1,9.767638092E0
7.585555875E0,2.799179077E-1,3.767665100E-1,9.638456726E0
7.605657875E0,2.261796570E-1,3.252735901E-1,9.511820068E0
7.625758750E0,1.764830017E-1,3.125500488E-1,9.435329132E0
7.645859750E0,2.389031982E-1,4.257147217E-1,9.278455353E0
7.665960750E0,2.119592285E-1,3.219804382E-1,9.061107330E0
7.686061750E0,-1.134640503E-1,9.864486694E-2,9.505533142E0
7.706163750E0,-4.462220764E-1,-3.177891541E-1,9.975406036E0
7.726264750E0,-1.221459961E-1,2.052232361E-1,1.027717850E1
7.746365750E0,-1.648072815E-1,8.595126343E-1,9.890083466E0
7.766466750E0,-6.592291260E-1,1.604363708E0,9.283395081E0
7.786567750E0,1.168170776E0,8.855584717E-1,1.071142548E1
7.806668750E0,-2.199975128E0,4.923262024E-1,1.307605820E1
7.826770750E0,7.050338745E-2,9.449848938E-1,1.200189194E1
7.846871750E0,5.673202515E-1,4.822970581E-1,8.472082214E0
7.866972750E0,2.003733215E0,4.421804810E-1,7.270830231E0
7.887073750E0,-4.453239441E-1,4.821473694E-1,4.578229523E0
7.907174750E0,-1.149309998E0,6.953041077E-1,2.473007355E0
7.927275750E0,-1.318757629E0,4.507576447E0,9.125174103E0
7.947377750E0,3.188818817E0,4.344415741E0,1.474957809E1
7.967478750E0,8.180488586E-1,3.817062378E-1,1.971520203E1
7.987579750E0,1.002016296E0,1.781445465E0,6.511459351E0
8.007680750E0,-1.118025055E0,1.545086975E0,5.145699463E0
8.027781750E0,1.206640778E0,1.019230499E0,6.401737518E0
8.047882750E0,2.475402374E0,2.576741638E0,1.358110794E1
8.067984750E0,2.157313843E0,4.054468689E0,1.333097809E1
8.088085750E0,-3.680845642E-1,2.175276489E0,1.262983612E1
8.108186750E0,-1.591789856E0,9.276210022E-1,9.086255035E0
8.128287750E0,-2.611768799E0,2.473456421E0,7.367080078E0
8.148388750E0,7.484436035E-1,3.226091309E0,7.010222168E0
8.168490750E0,8.866062927E-1,2.278262329E0,1.235141510E1
8.188591750E0,1.452579346E0,2.083068237E0,1.312395859E1
8.208692750E0,2.287842407E0,3.902983704E0,6.940317535E0
8.228793750E0,1.468146973E0,1.695823517E0,6.799759827E0
