"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.924219083E0,-1.506562591E0,2.925348520E0,-6.251120567E-2
4.944320083E0,-1.049793959E0,2.928864002E0,2.773903012E-1
4.964422083E0,-6.005628705E-1,1.926949769E-1,2.439534664E-1
4.984524083E0,-3.787695765E-1,-2.293918371E0,3.597096801E-1
5.004625083E0,-1.328643858E-1,-3.602695227E0,5.829315782E-1
5.024727083E0,2.722066939E-1,-3.818331957E0,7.470891476E-1
5.044829083E0,7.772073150E-1,-3.092015505E0,6.417424679E-1
5.064930083E0,1.311135530E0,-2.308691978E0,2.891012132E-1
5.085032083E0,1.835961699E0,-2.423305035E0,5.795709416E-2
5.105134083E0,2.527020931E0,-3.476877451E0,1.328395158E-1
5.125235083E0,3.173544645E0,-5.090841293E0,3.466202617E-1
5.145337083E0,1.981831431E0,-6.018182278E0,1.763337553E-1
5.165438083E0,-5.969108939E-1,-3.145180464E0,-3.006517291E-1
5.185540083E0,-1.335151553E0,-8.271735311E-1,-7.350374460E-1
5.205642083E0,-1.547826529E0,5.242217183E-1,-1.140239477E0
5.225743083E0,-9.578723311E-1,2.615391254E0,-5.499238372E-1
5.245845083E0,4.893944860E-1,2.809277534E0,2.406810373E-1
5.265947083E0,8.829109073E-1,-7.556009889E-1,2.786015868E-1
5.286048083E0,-5.004043579E-1,-4.632362366E0,-8.067325503E-2
5.306150083E0,-9.807556868E-1,-7.742292881E0,-1.444764584E-1
5.326252083E0,-1.922108233E-1,-8.974212646E0,-3.880489469E-1
5.346353083E0,1.163723469E0,-8.209675789E0,-8.953273892E-1
5.366455083E0,2.634663582E0,-2.459401369E0,-9.238308668E-1
5.386557083E0,1.183161139E0,5.437312126E-1,-7.135766745E-1
5.406658083E0,-3.291899860E-1,-9.892413020E-1,-5.684453249E-1
5.426760083E0,-4.042582214E-1,-2.740889549E0,-3.576122522E-1
5.446862083E0,3.385425806E-1,-3.134195566E0,1.071984880E-2
5.466963083E0,8.205724955E-1,-2.482650995E0,5.123133063E-1
5.487065083E0,8.278547525E-1,-2.007764339E0,9.637271166E-1
5.507167083E0,4.657877684E-1,-2.349302292E0,9.823719859E-1
5.527268083E0,2.751544416E-1,-2.569609404E0,4.427811503E-1
5.547370083E0,4.060640335E-1,-2.508550644E0,1.386687309E-1
5.567471083E0,4.574367106E-1,-2.732780218E0,4.911746979E-1
5.587573083E0,3.785806000E-1,-3.384153605E0,7.784985900E-1
5.607675083E0,3.616763353E-1,-3.733170509E0,6.963801980E-1
5.627776083E0,4.250850081E-1,-3.386733770E0,3.801859617E-1
5.647878083E0,4.277321398E-1,-2.694253445E0,5.506614223E-2
5.667980083E0,3.320919871E-1,-1.881705046E0,-1.187184080E-1
5.688081083E0,2.032563686E-1,-1.281702876E0,-6.005969644E-2
5.708183083E0,1.564767659E-1,-1.466969490E0,2.144468576E-1
5.728285083E0,3.420535326E-1,-1.776332378E0,4.364529252E-1
5.748386083E0,5.621850491E-1,-1.331099391E0,5.740206838E-1
5.768488083E0,6.544879079E-1,-4.746357799E-1,6.929731369E-1
5.788590083E0,5.585411787E-1,2.838737518E-2,7.162200809E-1
5.808691083E0,2.997706234E-1,-1.295904517E-1,6.576983333E-1
5.828793083E0,9.205304086E-2,-8.150966167E-1,7.852200866E-1
5.848895083E0,6.155932695E-2,-1.561842203E0,8.490245938E-1
5.868995875E0,1.101604924E-1,-1.822880507E0,8.541951180E-1
5.889097875E0,5.769496411E-2,-1.214060545E0,7.997373939E-1
5.909198875E0,-2.522251904E-1,-4.077248573E-1,5.551126599E-1
5.929300875E0,-6.074238420E-1,-3.163656220E-3,1.752308011E-1
5.949402875E0,-9.900209308E-1,-1.279382855E-1,-1.034140512E-1
5.969503875E0,-1.608348846E0,-5.994018912E-1,-3.122233450E-1
5.989605875E0,-2.832693815E0,-7.881266475E-1,-6.200407743E-1
6.009707875E0,-3.389097691E0,-6.496115029E-2,-1.081856370E0
6.029808875E0,-3.050931931E0,2.560663223E-1,-1.340141892E0
6.049910875E0,-2.603923082E0,7.499434352E-1,-1.534588337E0
6.070012875E0,-1.737001896E0,4.342493534E0,-1.622222424E0
6.090113875E0,-6.662367582E-1,4.770511627E0,-2.010291815E0
6.110215875E0,2.857527733E-1,3.282307863E0,-2.170347929E0
6.130317875E0,1.249996901E0,1.228634715E0,-1.984523416E0
6.150418875E0,1.476135731E0,3.383364081E-1,-1.723683000E0
6.170520875E0,-1.380521804E-1,-5.121430755E-1,-1.819504142E0
6.190621875E0,-1.728621840E0,-7.998074293E-1,-1.879250169E0
6.210723875E0,-1.114899993E0,-1.072826862E0,-1.425125480E0
6.230825875E0,3.537969887E-1,-2.653977394E0,-1.231961250E0
6.250926875E0,9.860318899E-1,-3.125734806E0,-1.380543351E0
6.271028875E0,4.761964381E-1,-2.318797588E0,-9.585966468E-1
6.291130875E0,-1.318365335E-1,-2.315578699E0,6.623958051E-2
6.311231875E0,-4.207886457E-1,-2.246664047E0,9.463008642E-1
6.331333875E0,-2.827682495E-1,-1.690255642E0,1.372637868E0
6.351435875E0,2.178701162E-1,-5.845581293E-1,1.483987570E0
6.371536875E0,8.155066371E-1,8.630267382E-1,1.184949994E0
6.391638875E0,7.934274673E-1,1.630513191E0,-3.479970992E-1
6.411740875E0,5.671367645E-1,2.380557775E0,-2.000507593E0
6.431841875E0,1.467749029E-1,1.832755327E0,-2.140977383E0
6.451943875E0,-2.918781042E0,-3.323229313E0,-9.323068857E-1
6.472045875E0,-3.338502645E0,-5.521698475E0,1.594590843E-1
